4	-8.0
13	68.0
22	78.0
29	4.0
35	-2.0
43	6.0
44	-26.0
53	70.0
59	-8.0
66	0.0
70	-16.0
76	-2.0
85	68.0
92	-4.0
101	78.0
104	-18.0
113	68.0
116	-18.0
125	2.0
126	-26.0
134	-2.0
140	-4.0
143	-22.0
148	-14.0
152	-12.0
156	-12.0
158	-24.0
167	4.0
176	74.0
180	-14.0
183	-22.0
191	6.0
195	-16.0
204	78.0
208	-14.0
217	76.0
219	-24.0
222	-24.0
230	-4.0
238	10.0
240	-24.0
243	-22.0
249	-10.0
258	72.0
262	-18.0
264	-24.0
273	80.0
279	-10.0
284	-10.0
287	-14.0
296	70.0
304	4.0
309	-14.0
315	-6.0
322	-4.0
326	-14.0
329	-22.0
332	-18.0
337	-14.0
346	66.0
351	-12.0
354	-18.0
361	6.0
368	4.0
377	8.0
382	-12.0
388	-6.0
397	64.0
404	-10.0
413	70.0
418	-12.0
427	74.0
430	-20.0
433	-24.0
442	10.0
450	6.0
456	-2.0
460	-10.0
464	-16.0
470	-4.0
472	-22.0
477	-10.0
484	-2.0
490	-12.0
492	-22.0
495	-20.0
504	78.0
508	-20.0
512	-18.0
521	74.0
524	-22.0
527	-14.0
534	2.0
538	-8.0
543	-8.0
547	-20.0
550	-18.0
559	74.0
564	-14.0
569	-4.0
578	76.0
587	68.0
595	2.0
597	-24.0
599	-24.0
608	70.0
609	-26.0
616	-2.0
625	72.0
631	-12.0
633	-26.0
635	-26.0
643	8.0
644	-26.0
648	-12.0
654	-2.0
657	6.0
666	76.0
675	78.0
684	74.0
693	72.0
699	0.0
703	-14.0
712	4.0
718	-12.0
727	70.0
733	-4.0
742	74.0
743	-26.0
749	-8.0
758	66.0
763	-12.0
772	72.0
777	-10.0
782	-8.0
787	-8.0
796	74.0
800	-18.0
804	-18.0
813	78.0
818	-10.0
826	26.0
828	-24.0
831	-24.0
837	-6.0
846	74.0
855	78.0
864	72.0
868	-14.0
877	68.0
886	10.0
894	0.0
895	-26.0
896	-26.0
904	-4.0
909	-6.0
915	-4.0
924	74.0
927	-18.0
936	72.0
943	-4.0
952	8.0
961	72.0
964	-16.0
966	-22.0
972	0.0
979	-2.0
988	76.0
991	-18.0
996	-10.0
1000	-12.0
1009	72.0
1018	70.0
1025	-4.0
1034	74.0
1037	-18.0
1038	-26.0
1044	-6.0
1053	74.0
1062	68.0
1071	8.0
1075	-16.0
1081	-2.0
1085	-16.0
1088	-14.0
1097	78.0
1101	-18.0
1105	-16.0
1107	-22.0
1116	70.0
1120	-16.0
1126	-4.0
1130	-14.0
1139	76.0
1146	-2.0
1149	-18.0
1153	-12.0
1161	2.0
1170	76.0
1177	-4.0
1184	2.0
1188	-14.0
1189	-28.0
1191	-26.0
1198	4.0
1200	-26.0
1206	-4.0
1209	-18.0
1216	6.0
1218	-22.0
1224	-10.0
1225	-26.0
1229	-14.0
1238	74.0
1245	-2.0
1247	-24.0
1251	-18.0
1257	-6.0
1263	-6.0
1266	-18.0
1270	-18.0
1279	74.0
1288	80.0
1295	-2.0
1303	-4.0
1306	-14.0
1312	-8.0
1316	-12.0
1317	-26.0
1320	-18.0
1328	0.0
1337	72.0
1346	68.0
1350	-10.0
1359	70.0
1364	-12.0
1369	-8.0
1375	-4.0
1378	-18.0
1380	-26.0
1385	-12.0
1389	-14.0
1398	72.0
1404	-4.0
1407	-22.0
1416	8.0
1423	0.0
1432	74.0
1439	-2.0
1442	-22.0
1447	-6.0
1450	-22.0
1454	-18.0
1460	0.0
1463	-22.0
1465	-24.0
1470	-6.0
1477	0.0
1478	-28.0
1487	76.0
1488	-28.0
1494	-8.0
1496	-24.0
1500	-14.0
1507	6.0
1510	-18.0
1519	76.0
1525	-2.0
1534	76.0
1537	-18.0
1539	-22.0
1541	-20.0
1546	-8.0
1548	-24.0
1556	6.0
1565	68.0
1572	6.0
1581	4.0
1590	76.0
1596	-8.0
1605	66.0
1609	-14.0
1611	-24.0
1618	4.0
1627	72.0
1632	-10.0
1640	4.0
1649	74.0
1654	-6.0
1659	-8.0
1663	-16.0
1667	-14.0
1670	-20.0
1677	-6.0
1682	-8.0
1690	0.0
1699	2.0
1703	-18.0
1708	-14.0
1717	76.0
1726	72.0
1727	-28.0
1729	-22.0
1732	-18.0
1739	-4.0
1742	-18.0
1745	-22.0
1754	70.0
1763	72.0
1771	24.0
1780	72.0
1789	78.0
1798	68.0
1802	-12.0
1807	-12.0
1811	-12.0
1819	14.0
1826	6.0
1830	12.0
1831	-28.0
1833	-24.0
1838	-2.0
1845	2.0
1848	-22.0
1850	-28.0
1854	-16.0
1856	-20.0
1865	72.0
1873	2.0
1874	-26.0
1878	-18.0
1883	-12.0
1888	-12.0
1891	-22.0
1895	-14.0
1904	74.0
1907	-24.0
1912	-10.0
1921	6.0
1930	80.0
1939	80.0
1948	70.0
1951	-24.0
1954	-16.0
1957	-18.0
1962	-2.0
1966	-14.0
1972	-6.0
1975	-24.0
1979	-12.0
1984	-8.0
1989	-6.0
1996	-2.0
2005	10.0
2012	-2.0
2021	80.0
2026	-10.0
2027	-26.0
2036	74.0
2040	-18.0
2049	80.0
2055	-4.0
2060	-6.0
2065	-10.0
2074	2.0
2083	74.0
2088	-10.0
2093	-8.0
2099	-6.0
2108	68.0
2112	-14.0
2118	-4.0
2127	66.0
2131	-12.0
2140	76.0
2147	2.0
2156	8.0
2165	72.0
2172	-2.0
2176	-14.0
2185	68.0
2194	76.0
2200	-8.0
2209	74.0
2216	0.0
2221	-10.0
2230	72.0
2239	66.0
2246	2.0
2255	78.0
2258	-14.0
2265	6.0
2274	72.0
2282	34.0
2288	-8.0
2293	-6.0
2302	68.0
2305	-16.0
2309	-14.0
2316	4.0
2320	-12.0
2323	-18.0
2332	72.0
2333	-28.0
2336	-18.0
2342	-12.0
2345	-18.0
2353	8.0
2359	-2.0
2368	76.0
2377	74.0
2386	70.0
2390	-12.0
2394	-16.0
2403	72.0
2408	-14.0
2417	74.0
2422	-14.0
2426	-12.0
2435	66.0
2444	14.0
2448	-8.0
2454	-4.0
2463	70.0
2472	66.0
2481	70.0
2490	80.0
2491	-26.0
2493	-24.0
2502	64.0
2506	-14.0
2508	-24.0
2513	-14.0
2522	74.0
2525	-14.0
2530	-10.0
2531	-26.0
2534	-22.0
2537	-22.0
2541	-18.0
2550	70.0
2555	-6.0
2564	78.0
2569	-8.0
2572	-22.0
2581	76.0
2587	-8.0
2594	-4.0
2601	0.0
2610	80.0
2617	6.0
2623	-6.0
2632	74.0
2639	4.0
2646	4.0
2653	0.0
2655	-20.0
2662	0.0
2670	10.0
2676	-10.0
2680	-12.0
2682	-26.0
2689	0.0
2696	-4.0
2705	70.0
2709	-12.0
2713	-20.0
2720	2.0
2722	-24.0
2723	-26.0
2731	8.0
2738	-10.0
2742	-12.0
2751	74.0
2760	76.0
2769	76.0
2778	6.0
2787	64.0
2796	4.0
2802	-6.0
2803	-26.0
2811	2.0
2813	-22.0
2815	-20.0
2824	72.0
2833	68.0
2837	-12.0
2840	-22.0
2845	-6.0
2854	10.0
2859	-16.0
2866	6.0
2875	68.0
2884	68.0
2887	-22.0
2893	22.0
2902	8.0
2905	-18.0
2909	-12.0
2913	-14.0
2920	6.0
2923	-18.0
2932	74.0
2935	-14.0
2942	6.0
2948	-2.0
2955	2.0
2957	-28.0
2962	-6.0
2964	-22.0
2968	-14.0
2972	-20.0
2981	78.0
2990	72.0
2999	68.0
3002	-18.0
3006	-18.0
3014	2.0
3023	4.0
3027	-16.0
3034	-4.0
3043	10.0
3052	70.0
3055	-24.0
3058	-18.0
3067	68.0
3070	-22.0
3075	-10.0
3084	72.0
3088	-14.0
3097	10.0
3103	-6.0
3107	-20.0
3111	-10.0
3114	-18.0
3121	2.0
3124	-22.0
3133	78.0
3140	0.0
3149	2.0
3152	-22.0
3161	70.0
3168	2.0
3169	-28.0
3174	-6.0
3183	74.0
3186	-24.0
3190	-16.0
3195	-10.0
3201	-6.0
3206	-12.0
3215	70.0
3224	72.0
3226	-20.0
3231	-8.0
3238	4.0
3240	-24.0
3243	-18.0
3245	-24.0
3247	-26.0
3248	-26.0
3255	-2.0
3264	64.0
3269	-10.0
3277	4.0
3283	-4.0
3287	-18.0
3296	72.0
3298	-24.0
3307	66.0
3310	-24.0
3319	72.0
3327	4.0
3330	-18.0
3332	-20.0
3341	68.0
3343	-26.0
3350	2.0
3354	-18.0
3357	-18.0
3366	72.0
3372	-8.0
3377	-10.0
3382	-10.0
3385	-18.0
3387	-26.0
3396	76.0
3398	-24.0
3399	-26.0
3408	76.0
3411	-18.0
3420	80.0
3429	70.0
3431	-24.0
3436	-12.0
3439	-14.0
3448	74.0
3455	4.0
3460	-14.0
3465	-8.0
3470	-10.0
3479	70.0
3486	-4.0
3489	-20.0
3498	10.0
3500	-26.0
3502	-26.0
3511	70.0
3516	-10.0
3525	76.0
3526	-26.0
3532	-12.0
3540	6.0
3549	4.0
3551	-20.0
3553	-24.0
3557	-16.0
3564	4.0
3568	-8.0
3573	-6.0
3580	2.0
3582	-24.0
3584	-26.0
3589	-12.0
3591	-26.0
3600	74.0
3604	-14.0
3613	72.0
3616	-18.0
3618	-24.0
3627	16.0
3633	2.0
3639	-2.0
3648	74.0
3650	-24.0
3656	-6.0
3658	-22.0
3661	-20.0
3667	-2.0
3670	-20.0
3673	-22.0
3675	-24.0
3684	74.0
3687	-18.0
3696	76.0
3699	-14.0
3703	-18.0
3712	74.0
3717	-12.0
3720	-20.0
3722	-24.0
3728	-6.0
3737	72.0
3742	-14.0
3745	-18.0
3748	-22.0
3755	-6.0
3764	8.0
3773	80.0
3775	-20.0
3780	-2.0
3789	12.0
3798	70.0
3803	-16.0
3812	10.0
3817	-8.0
3824	8.0
3826	-26.0
3835	68.0
3844	68.0
3847	-22.0
3856	74.0
3860	-12.0
3870	34.0
3876	-2.0
3885	76.0
3894	72.0
3902	0.0
3906	-14.0
3909	-20.0
3911	-24.0
3920	66.0
3929	8.0
3935	-4.0
3938	-16.0
3941	-20.0
3946	-8.0
3953	6.0
3960	-4.0
3969	74.0
3975	-2.0
3984	68.0
3986	-26.0
3992	-8.0
4001	62.0
4004	-14.0
4013	66.0
4018	-14.0
4027	76.0
4033	-6.0
4042	66.0
4050	10.0
4058	6.0
4063	-8.0
4072	72.0
4081	76.0
4090	74.0
4097	2.0
4098	-28.0
4103	-8.0
4107	-12.0
4116	80.0
4124	12.0
4129	-14.0
4138	72.0
4147	72.0
4156	4.0
4158	-26.0
4167	70.0
4176	70.0
4182	-6.0
4184	-24.0
4189	-6.0
4190	-26.0
4194	-14.0
4203	74.0
4212	76.0
4219	6.0
4224	-12.0
4231	2.0
4240	74.0
4245	-14.0
4251	-12.0
4260	72.0
4262	-22.0
4271	68.0
4277	-8.0
4286	62.0
4293	0.0
4298	-10.0
4306	2.0
4311	20.0
4318	-4.0
4326	10.0
4333	-8.0
4338	-8.0
4344	-4.0
4349	-8.0
4353	-14.0
4357	-12.0
4359	-24.0
4368	4.0
4377	76.0
4381	-14.0
4388	-6.0
4395	0.0
4404	72.0
4411	2.0
4416	-14.0
4425	72.0
4426	-26.0
4429	-18.0
4436	0.0
4443	0.0
4449	-4.0
4456	-2.0
4460	-14.0
4465	-8.0
4472	0.0
4477	-6.0
4485	10.0
4494	72.0
4500	-8.0
4509	74.0
4518	72.0
4523	-10.0
4527	-10.0
4533	-6.0
4542	70.0
4551	74.0
4559	14.0
4568	72.0
4570	-24.0
4579	74.0
4581	-26.0
4588	6.0
4597	68.0
4606	72.0
4611	-6.0
4617	-10.0
4626	68.0
4635	10.0
4639	-12.0
4648	70.0
4651	-18.0
4657	-6.0
4661	-12.0
4665	-16.0
4674	78.0
4683	68.0
4687	-14.0
4696	74.0
4700	-14.0
4709	66.0
4715	-4.0
4717	-26.0
4726	4.0
4728	-24.0
4737	14.0
4744	0.0
4751	-4.0
4760	72.0
4769	8.0
4778	72.0
4785	0.0
4788	-16.0
4795	-4.0
4802	6.0
4811	76.0
4816	-14.0
4824	6.0
4832	0.0
4833	-26.0
4835	-24.0
4836	-26.0
4843	-2.0
4852	74.0
4861	70.0
4866	-10.0
4872	-2.0
4879	-10.0
4888	70.0
4894	-6.0
4896	-24.0
4905	72.0
4911	-8.0
4915	-14.0
4918	-18.0
4927	66.0
4936	66.0
4944	2.0
4947	-20.0
4956	76.0
4965	72.0
4968	-14.0
4972	-12.0
4974	-22.0
4979	20.0
4988	4.0
4997	70.0
5006	72.0
5010	-14.0
5014	-14.0
5015	-28.0
5023	6.0
5026	-22.0
5029	-22.0
5038	6.0
5047	66.0
5048	-26.0
5049	-26.0
5058	72.0
5067	76.0
5074	2.0
5083	70.0
5089	-2.0
5098	6.0
5107	70.0
5116	70.0
5123	-2.0
5124	-26.0
5131	2.0
5140	82.0
5145	-8.0
5152	0.0
5161	78.0
5163	-24.0
5169	-6.0
5173	-14.0
5175	-26.0
5182	0.0
5186	-8.0
5188	-24.0
5197	76.0
5206	76.0
5210	-12.0
5215	-12.0
5221	-10.0
5230	72.0
5239	70.0
5245	-8.0
5248	-22.0
5257	70.0
5262	-6.0
5271	72.0
5279	6.0
5288	74.0
5293	-8.0
5296	-22.0
5304	6.0
5306	-20.0
5314	32.0
5319	-8.0
5328	76.0
5335	0.0
5342	0.0
5343	-26.0
5352	76.0
5355	-18.0
5360	-8.0
5369	66.0
5378	74.0
5387	74.0
5394	-2.0
5403	76.0
5412	78.0
5421	74.0
5427	-8.0
5430	-14.0
5439	72.0
5445	-6.0
5454	76.0
5456	-24.0
5465	66.0
5468	-18.0
5477	68.0
5484	-8.0
5493	70.0
5502	70.0
5511	70.0
5519	0.0
5528	74.0
5534	-4.0
5540	-6.0
5544	-14.0
5550	-4.0
5559	68.0
5564	-10.0
5567	-14.0
5576	74.0
5578	-20.0
5587	76.0
5596	12.0
5605	12.0
5614	74.0
5618	-18.0
5627	72.0
5631	-10.0
5637	-8.0
5642	-8.0
5650	2.0
5653	-24.0
5655	-24.0
5660	-10.0
5665	-12.0
5672	4.0
5681	76.0
5690	8.0
5695	-10.0
5698	-22.0
5706	2.0
5715	68.0
5724	74.0
5732	2.0
5740	0.0
5749	82.0
5753	-14.0
5761	-2.0
5764	-18.0
5771	2.0
5775	-18.0
5777	-26.0
5781	-12.0
5784	-16.0
5787	-20.0
5796	76.0
5799	-22.0
5802	-20.0
5808	-6.0
5817	74.0
5827	40.0
5831	-14.0
5840	76.0
5841	-26.0
5843	-20.0
5846	-24.0
5855	74.0
5858	-18.0
5865	10.0
5871	-6.0
5875	-14.0
5884	64.0
5888	-14.0
5897	76.0
5906	78.0
5915	70.0
5924	78.0
5928	-12.0
5934	2.0
5939	-6.0
5942	-18.0
5946	-20.0
5955	70.0
5964	6.0
5968	-16.0
5977	68.0
5986	70.0
5995	70.0
6001	-4.0
6008	24.0
6017	72.0
6022	-12.0
6028	-8.0
6030	-20.0
6036	-4.0
6042	-6.0
6051	58.0
6057	-12.0
6066	64.0
6075	70.0
6082	2.0
6087	-8.0
6094	2.0
6097	-24.0
6106	74.0
6115	76.0
6123	10.0
6126	-18.0
6135	76.0
6144	72.0
6153	78.0
6162	78.0
6171	14.0
6178	-8.0
6186	10.0
6189	-22.0
6195	-4.0
6201	-4.0
6210	76.0
6217	-2.0
6223	-6.0
6232	74.0
6241	78.0
6250	74.0
6255	-6.0
6264	68.0
6269	-14.0
6273	-18.0
6282	74.0
6286	-14.0
6295	72.0
6304	72.0
6313	72.0
6322	78.0
6324	-24.0
6333	78.0
6337	-14.0
6341	-18.0
6343	-22.0
6352	66.0
6356	-18.0
6365	68.0
6372	4.0
6378	2.0
6381	-14.0
6385	-14.0
6394	16.0
6395	-26.0
6397	-22.0
6402	-6.0
6411	68.0
6420	76.0
6427	0.0
6431	-12.0
6440	72.0
6446	-8.0
6450	-12.0
6459	8.0
6461	-24.0
6468	4.0
6477	72.0
6486	70.0
